"REF_DATE","GEO","DGUID","North American Industry Classification System (NAICS)","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1987-02","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Hours","152","thousands","3","v4391521","1.9.1","66488.4","","","","1"
"1987-02","Canada","2016A000011124","Transportation and warehousing [48-49]","Estimate","Hours","152","thousands","3","v4391523","1.10.1","23443.0","","","","1"
"1987-02","Canada","2016A000011124","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Hours","152","thousands","3","v4391525","1.11.1","26831.0","","","","1"
"1987-02","Canada","2016A000011124","Professional, scientific and technical services [54]","Estimate","Hours","152","thousands","3","v4391527","1.12.1","17690.7","","","","1"
"1987-02","Canada","2016A000011124","Business, building and other support services [55-56]","Estimate","Hours","152","thousands","3","v4391529","1.13.1","8914.9","","","","1"
"1987-02","Canada","2016A000011124","Educational services [61]","Estimate","Hours","152","thousands","3","v4391531","1.14.1","23871.7","","","","1"
"1987-02","Canada","2016A000011124","Health care and social assistance [62]","Estimate","Hours","152","thousands","3","v4391533","1.15.1","34435.2","","","","1"
"1987-02","Canada","2016A000011124","Information, culture and recreation [51, 71]","Estimate","Hours","152","thousands","3","v4391535","1.16.1","17258.3","","","","1"
"1987-02","Canada","2016A000011124","Accommodation and food services [72]","Estimate","Hours","152","thousands","3","v4391537","1.17.1","22936.5","","","","1"
"1987-02","Canada","2016A000011124","Other services (except public administration) [81]","Estimate","Hours","152","thousands","3","v4391539","1.18.1","21512.2","","","","1"
"1987-02","Canada","2016A000011124","Public administration [91]","Estimate","Hours","152","thousands","3","v4391541","1.19.1","26679.9","","","","1"
"1987-03","Canada","2016A000011124","Total actual hours worked, all industries","Estimate","Hours","152","thousands","3","v4391505","1.1.1","429547.5","","","","1"
"1987-03","Canada","2016A000011124","Goods-producing sector","Estimate","Hours","152","thousands","3","v4391507","1.2.1","138822.5","","","","1"
"1987-03","Canada","2016A000011124","Agriculture [111-112, 1100, 1151-1152]","Estimate","Hours","152","thousands","3","v4391509","1.3.1","20480.5","","","","1"
"1987-03","Canada","2016A000011124","Forestry, fishing, mining, quarrying, oil and gas [21, 113-114, 1153, 2100]","Estimate","Hours","152","thousands","3","v4391511","1.4.1","11182.2","","","","1"
"1987-03","Canada","2016A000011124","Utilities [22]","Estimate","Hours","152","thousands","3","v4391513","1.5.1","4121.2","","","","1"
"1987-03","Canada","2016A000011124","Construction [23]","Estimate","Hours","152","thousands","3","v4391515","1.6.1","26704.7","","","","1"
"1987-03","Canada","2016A000011124","Manufacturing [31-33]","Estimate","Hours","152","thousands","3","v4391517","1.7.1","76333.8","","","","1"
"1987-03","Canada","2016A000011124","Services-producing sector","Estimate","Hours","152","thousands","3","v4391519","1.8.1","290725.0","","","","1"
"1987-03","Canada","2016A000011124","Wholesale and retail trade [41, 44-45]","Estimate","Hours","152","thousands","3","v4391521","1.9.1","66330.5","","","","1"
"1987-03","Canada","2016A000011124","Transportation and warehousing [48-49]","Estimate","Hours","152","thousands","3","v4391523","1.10.1","23793.9","","","","1"
"1987-03","Canada","2016A000011124","Finance, insurance, real estate, rental and leasing [52-53]","Estimate","Hours","152","thousands","3","v4391525","1.11.1","27058.6","","","","1"
"1987-03","Canada","2016A000011124","Professional, scientific and technical services [54]","Estimate","Hours","152","thousands","3","v4391527","1.12.1","17936.0","","","","1"
"1987-03","Canada","2016A000011124","Business, building and other support services [55-56]","Estimate","Hours","152","thousands","3","v4391529","1.13.1","9009.4","","","","1"
"1987-03","Canada","2016A000011124","Educational services [61]","Estimate","Hours","152","thousands","3","v4391531","1.14.1","24005.1","","","","1"
"1987-03","Canada","2016A000011124","Health care and social assistance [62]","Estimate","Hours","152","thousands","3","v4391533","1.15.1","34653.8","","","","1"
"1987-03","Canada","2016A000011124","Information, culture and recreation [51, 71]","Estimate","Hours","152","thousands","3","v4391535","1.16.1","16758.8","","","","1"
"1987-03","Canada","2016A000011124","Accommodation and food services [72]","Estimate","Hours","152","thousands","3","v4391537","1.17.1","23357.9","","","","1"
"1987-03","Canada","2016A000011124","Other services (except public administration) [81]","Estimate","Hours","152","thousands","3","v4391539","1.18.1","21425.9","","","","1"
"1987-03","Canada","2016A000011124","Public administration [91]","Estimate","Hours","152","thousands","3","v4391541","1.19.1","26395.1","","","","1"
"1987-04","Canada","2016A000011124","Total actual hours worked, all industries","Estimate","Hours","152","thousands","3","v4391505","1.1.1","431653.6","","","","1"
"1987-04","Canada","2016A000011124","Goods-producing sector","Estimate","Hours","152","thousands","3","v4391507","1.2.1","140305.6","","","","1"
